"Arena","ObjectID","TrackingRegion","Fly","Treatment","ObsSeconds","SecFirstSeen","FirstSeenY_mm","SecTo25","SecTo50","SecTo75","SecTo90","MaxY_mm","Sec3_mm","Sec6_mm","Sec9_mm","Sec12_mm","Sec15_mm","TotalYDist_mm","TotalUpDist_mm","AvgSpeed","AvgTop10Speed","TotalDist_mm","PercSleeping","PercWalking","PercMicroMoving","PercResting","StartMin","EndMin"
"Arena1",0,"T1",1,"A",9.6874591,0.2656511,2.523,2.3750028,4.7030954,6.9062173,NA,65.511,21.924,46.632,65.511,65.511,65.511,65.511,65.511,79.418094725034,137.716481566667,66.882786681,0,0.816326530612245,0.00680272108843537,0.17687074829932,0,0
"Arena1",0,"T2",2,"B",9.9531102,0,7.047,1.3125326,4.8437228,7.7655783,9.5624428,63.51,22.098,37.671,58.725,62.901,62.901,63.684,63.597,76.9721375036424,143.14978525625,66.2625396429,0,0.940397350993378,0.0529801324503311,0.00662251655629139,0,0
"Arena1",0,"T3",3,"C",4.2499906,5.7031196,2.436,9.6874878,NA,NA,NA,17.139,0,0.609000000000002,13.746,17.139,17.139,17.835,17.487,50.0968010061538,92.6100239371429,18.649205247,0,0.753846153846154,0.184615384615385,0.0615384615384615,0,0
"Arena1",0,"T4",4,"A",9.9531102,0,17.487,0.1406241,1.1874901,2.2500243,3.1718573,53.94,48.285,52.809,52.809,52.809,52.809,56.724,54.723,67.8624879317219,233.112870625,58.5474839559,0,0.423841059602649,0.19205298013245,0.384105960264901,0,0
"Arena1",0,"T5",5,"B",9.9531102,0,8.526,0.9844106,2.4374994,4.171868,5.437497,62.814,35.583,61.422,61.77,61.77,61.77,66.816,64.641,80.1294394072848,193.302436425,69.1097502411,0,0.615894039735099,0.271523178807947,0.112582781456954,0,0
"Arena1",0,"T6",6,"C",9.9531102,0,7.047,1.6406521,4.4374715,6.8280831,8.4374777,63.336,18.444,43.848,61.596,62.64,62.64,63.858,63.597,74.5966404815894,142.77894514375,64.5079318557,0,0.841059602649007,0.0993377483443709,0.0596026490066225,0,0
"Arena1",0,"T7",7,"A",9.9531102,0,11.832,0.5156464,2.4374994,4.7656426,6.7031368,59.247,31.494,53.94,58.377,58.377,58.377,60.465,59.682,72.3881607196027,169.9932166375,62.3445328533,0,0.71523178807947,0.119205298013245,0.165562913907285,0,0
"Arena1",0,"T8",8,"B",9.9531102,0,3.306,2.109399,5.5624901,8.499949,NA,62.466,21.141,37.671,56.898,62.205,62.205,62.466,62.466,75.6842966037086,133.53657505625,65.1158004642,0,0.933774834437086,0.0463576158940397,0.0198675496688742,0,0
"Arena1",0,"T9",9,"C",9.9531102,0,8.352,2.1718889,5.0312545,8.1562296,NA,58.464,16.182,35.148,53.244,58.464,58.464,58.638,58.551,69.4595579156954,119.89002153125,60.0305425059,0,0.95364238410596,0.033112582781457,0.0132450331125828,0,0
"Arena1",0,"T10",10,"A",9.9531102,0,13.746,0.5781619,2.9843885,5.64059,7.2968935,57.681,24.186,46.11,56.724,56.724,56.724,59.943,58.812,73.5568205740397,135.60397971875,63.8886966711,0,0.80794701986755,0.0596026490066225,0.132450331125828,0,0
"Arena1",0,"T11",11,"B",9.9531102,0,12.615,0.5156464,2.1718889,3.9687406,5.1093664,58.812,34.8,57.855,58.029,58.029,58.029,61.161,59.943,74.2052833470861,183.28551176875,63.941379756,0,0.602649006622517,0.198675496688742,0.198675496688742,0,0
"Arena1",0,"T12",12,"C",9.9531102,0,24.534,0,1.3749897,3.8437276,5.2968766,46.893,26.622,45.501,46.284,46.284,46.284,50.895,48.894,63.0455316427815,153.8684797625,54.3517302318,0,0.675496688741722,0.145695364238411,0.178807947019868,0,0
"Arena1",0,"T13",13,"A",9.9531102,0,21.315,0,1.7187875,4.5780963,6.2968367,49.764,26.013,45.066,48.894,48.894,48.894,54.723,52.113,67.6611887733775,139.7777253875,58.3994737182,0,0.721854304635762,0.0860927152317881,0.19205298013245,0,0
"Arena1",0,"T14",14,"B",9.9531102,0,6.003,1.5781543,4.3124734,7.6250061,NA,60.639,22.446,41.76,55.332,60.639,60.639,61.335,60.987,73.9773904127152,138.40468543125,64.0728728001,0,0.894039735099338,0.0794701986754967,0.0264900662251656,0,0
"Arena2",0,"T1",1,"A",9.9687128,0,4.002,1.4062847,7.7812247,9.5780902,NA,57.594,28.797,28.797,47.937,57.507,57.507,58.986,58.29,70.7594363092053,176.95663328125,61.1889207882,0,0.562913907284768,0.145695364238411,0.291390728476821,0,0
"Arena2",0,"T2",2,"B",9.9687128,0,2.871,3.3281116,5.9843777,9.5155718,NA,57.42,13.659,35.409,50.895,57.333,57.333,57.594,57.507,67.4109520413907,117.342430121875,58.4409998448,0,0.867549668874172,0.112582781456954,0.0198675496688742,0,0
"Arena2",0,"T3",3,"C",9.9687128,0,14.616,0.468775,2.2031454,3.9218721,5.3281507,56.202,31.929,55.593,55.68,55.68,55.68,58.464,57.159,69.2585283527815,152.8518378,59.9729983308,0,0.549668874172185,0.225165562913907,0.225165562913907,0,0
"Arena2",0,"T4",4,"A",9.5624447,0.4062681,2.871,8.2499726,NA,NA,NA,17.922,6.177,11.223,17.922,17.922,17.922,45.762,22.794,59.5418173253103,205.777360653333,48.2540387358,0,0.386206896551724,0.2,0.413793103448276,0,0
"Arena2",0,"T5",5,"B",9.9687128,0,10.527,1.0000329,2.7968678,4.3906209,7.0468449,60.813,28.71,51.243,60.291,60.291,60.291,69.774,62.901,86.7214301388742,192.2100262,75.0177009489,0,0.788079470198676,0.172185430463576,0.0397350993377483,0,0
"Arena2",0,"T6",6,"C",9.828049,0.1406638,2.523,2.5937508,4.796878,7.0468449,9.4374774,68.817,19.749,46.284,64.293,68.817,68.817,69.339,69.078,83.0545494845638,140.228230066667,70.9477510605,0,0.926174496644295,0.0536912751677852,0.0201342281879195,0,0
"Arena2",0,"T7",7,"A",9.4999378,0.468775,2.697,2.3906304,3.9843745,6.3124978,7.8437728,68.208,23.838,51.765,67.338,68.208,68.208,69.6,68.817,87.0339683045833,176.217582813333,71.6864495382,0,0.819444444444444,0.125,0.0555555555555556,0,0
"Arena2",0,"T8",8,"B",9.9687128,0,2.697,3.9218721,NA,NA,NA,34.017,12.267,28.014,33.843,33.843,33.843,34.713,34.278,41.7442096613907,105.582932210625,36.1484110425,0,0.629139072847682,0.139072847682119,0.231788079470199,0,0
"Arena2",0,"T9",9,"C",8.6405416,1.3281712,2.523,5.2500183,NA,NA,NA,34.365,4.089,22.62,34.365,34.365,34.365,36.714,35.409,52.4521820728244,112.309599754286,39.5701199898,0,0.725190839694656,0.190839694656489,0.083969465648855,0,0
"Arena2",0,"T10",10,"A",9.9687128,0,19.836,0,1.0000329,2.6562622,3.6562406,51.591,39.411,50.199,50.199,50.199,50.199,103.617,52.287,124.606147757815,225.2541801375,107.620725384,0,0.966887417218543,0.0198675496688742,0.0132450331125828,0,0
"Arena2",0,"T11",11,"B",9.1718437,0.7968691,3.828,3.0625045,4.7187393,6.4531202,NA,58.029,13.833,48.981,54.897,58.029,58.029,60.291,59.16,76.6858358907914,172.954796228571,60.9823313016,0,0.589928057553957,0.0647482014388489,0.345323741007194,0,0
"Arena2",0,"T12",12,"C",9.9687128,0,3.132,2.7968678,6.7187868,NA,NA,47.067,16.356,32.364,42.543,46.806,46.806,48.111,47.589,57.9243857506623,109.39007358875,50.0454150807,0,0.854304635761589,0.0993377483443709,0.0463576158940397,0,0
"Arena2",0,"T13",13,"A",9.9687128,0,4.176,1.8593964,3.6562406,6.3124978,8.5155946,66.381,26.535,50.721,66.12,66.12,66.12,70.905,68.556,84.6961644145033,168.77819688125,73.0220885457,0,0.874172185430464,0.0596026490066225,0.0662251655629139,0,0
"Arena2",0,"T14",14,"B",9.0936769,0.8750359,2.523,NA,NA,NA,NA,11.136,8.613,11.136,11.136,11.136,11.136,13.659,12.18,20.0041630832609,78.1171628235714,15.6678017337,0,0.231884057971014,0.333333333333333,0.434782608695652,0,0
